Label,Value,ID
Apple Inc,8.5,1
Qorvo Inc,7.5,2
Pool Corp,5.9,3
Triton International Ltd/Bermu,4.7,4
West Pharmaceutical Services I,4.6,5
GoDaddy Inc,4.4,6
Microsoft Corp,4.2,7
Mr Cooper Group Inc,3.9,8
Providence Service Corp/The,3.7,9
Masimo Corp,3.6,10
