Label,Value,ID
Corporate Bonds,47.9,1
Dividend Stocks,27.0,2
Equity BDC's,9.3,3
Cash,5.9,4
Equity REIT s,4.7,5
Convertible Bonds,3.4,6
Closed End Funds,1.8,7
Warrants,0.1,8
