Date,% Return,% Market Return,,,Date,% Return,% Market Return
11/30/2016,-1.34%,3.70%,,,,,
7/31/2018,0.14%,3.72%,,,,,
9/30/2009,2.02%,3.73%,,,,,
3/31/2013,0.62%,3.75%,,,,,
10/31/2010,4.60%,3.81%,,,,,
12/31/2020,1.25%,3.84%,,,,,
2/28/2017,2.28%,3.97%,,,,,
8/31/2014,1.72%,4.00%,,,,,
4/30/2019,1.42%,4.05%,,,,,
6/30/2012,-1.66%,4.12%,,,,,
2/29/2012,0.09%,4.32%,,,,,
1/31/2012,1.13%,4.48%,,,,,
2/28/2014,2.04%,4.57%,,,,,
10/31/2013,0.90%,4.60%,,,,,
5/31/2020,0.98%,4.76%,,,,,
4/30/2008,-0.77%,4.87%,,,,,
7/31/2013,0.04%,5.09%,,,,,
1/31/2013,0.33%,5.18%,,,,,
5/31/2009,-3.07%,5.59%,,,,,
7/31/2020,2.85%,5.64%,,,,,
1/31/2018,6.01%,5.73%,,,,,
2/28/2015,-0.99%,5.75%,,,,,
11/30/2009,4.79%,6.00%,,,,,
3/31/2010,2.66%,6.03%,,,,,
12/31/2010,3.18%,6.68%,,,,,
3/31/2016,-3.94%,6.78%,,,,,
7/31/2010,2.65%,7.01%,,,,,
6/30/2019,0.20%,7.05%,,,,,
8/31/2020,0.14%,7.19%,,,,,
7/31/2009,-0.37%,7.56%,,,,,
1/31/2019,1.03%,8.01%,,,,,
10/31/2015,-2.36%,8.44%,,,,,
3/31/2009,0.15%,8.76%,,,,,
9/30/2010,4.65%,8.92%,,,,,
4/30/2009,-2.80%,9.57%,,,,,
10/31/2011,-1.22%,10.93%,,,,,
11/30/2020,6.84%,10.95%,,,,,
4/30/2020,0.22%,12.82%,,,,,
