Label,YTD,1 Year,3 Years,5 Years,10 Years,Since 3/12/2009,ID
Solactive Gold-Backed Bond Index,30.88,30.88,16.53,15.76,6.00,14.57,1
Bloomberg Barclays US Corporate TR,9.89,9.89,7.06,6.74,5.63,7.25,2
