Category,Class I,S&P 500 TR Index
YTD,5.98,6.17
1yr,78.54,56.35
3yr,24.53,16.78
Since 10/16/2017,23.57,15.78
5yr,19.71,16.29
10yr,12.11,13.91
Inception*,12.48,11.07
