Label,Value,ID
ETF/ETN,30.0,1
Industrials,14.7,2
Communication Services,8.2,3
Financials,8.0,4
Information Technology,6.9,5
Consumer Discretionary,6.9,6
Real Estate,6.7,7
Health Care,5.4,8
Consumer Staples,4.1,9
Energy,3.1,10
Materials,2.7,11
Cash,2.0,12
Utilities,1.4,13
,,
,,
,,
,,
,,
