Date,RFXIX,Bloomberg MBS Index,Barclays U.S. AGG,S&P 500 TR Index
9/30/2018,46649.50,13280.18,13971.50,43317.37
10/31/2018,47050.64,13196.45,13861.11,40356.63
11/30/2018,46931.53,13315.37,13943.81,41179.02
12/31/2018,46684.16,13556.83,14199.98,37460.97
1/31/2019,46958.03,13664.28,14350.82,40462.91
2/28/2019,47225.45,13651.90,14342.49,41762.11
3/31/2019,47501.55,13850.63,14617.87,42573.60
4/30/2019,48074.53,13842.44,14621.62,44297.37
5/31/2019,49243.04,14021.37,14881.18,41482.36
6/30/2019,49439.89,14122.25,15068.03,44405.90
7/31/2019,49473.81,14179.29,15101.20,45044.16
8/31/2019,49614.10,14305.89,15492.52,44330.60
9/30/2019,49624.05,14316.01,15410.02,45160.05
10/31/2019,49976.00,14366.54,15456.44,46138.17
11/30/2019,50244.00,14378.15,15448.53,47812.94
12/31/2019,50470.00,14417.98,15437.77,49256.07
1/31/2020,51791.00,14518.73,15734.87,49236.76
2/29/2020,52008.00,14669.24,16018.10,45183.65
3/31/2020,46934.00,14824.45,15923.80,39602.86
4/30/2020,48254.00,14918.56,16206.89,44679.71
5/31/2020,49506.00,14936.80,16282.31,46807.69
6/30/2020,50151.00,14923.13,16384.92,47738.61
7/31/2020,50620.00,14949.76,16629.64,50430.36
8/31/2020,50806.00,14955.62,16495.38,54055.29
9/30/2020,51044.00,14939.64,16486.36,52001.34
10/31/2020,51310.00,14933.64,16412.75,50618.48
11/30/2020,51657.00,14944.08,16573.79,56159.37
12/31/2020,51899.00,14976.25,16596.61,58318.61
