Date,Fed Funds Target Rate (%)
7/31/2000,6.50
8/31/2000,6.50
9/29/2000,6.50
10/31/2000,6.50
11/30/2000,6.50
12/29/2000,6.50
1/31/2001,5.50
2/28/2001,5.50
3/30/2001,5.00
4/30/2001,4.50
5/31/2001,4.00
6/29/2001,3.75
7/31/2001,3.75
8/31/2001,3.50
9/28/2001,3.00
10/31/2001,2.50
11/30/2001,2.00
12/31/2001,1.75
1/31/2002,1.75
2/28/2002,1.75
3/29/2002,1.75
4/30/2002,1.75
5/31/2002,1.75
6/28/2002,1.75
7/31/2002,1.75
8/30/2002,1.75
9/30/2002,1.75
10/31/2002,1.75
11/29/2002,1.25
12/31/2002,1.25
1/31/2003,1.25
2/28/2003,1.25
3/31/2003,1.25
4/30/2003,1.25
5/30/2003,1.25
6/30/2003,1.00
7/31/2003,1.00
8/29/2003,1.00
9/30/2003,1.00
10/31/2003,1.00
11/28/2003,1.00
12/31/2003,1.00
1/30/2004,1.00
2/27/2004,1.00
3/31/2004,1.00
4/30/2004,1.00
5/31/2004,1.00
6/30/2004,1.25
7/30/2004,1.25
8/31/2004,1.50
9/30/2004,1.75
10/29/2004,1.75
11/30/2004,2.00
12/31/2004,2.25
1/31/2005,2.25
2/28/2005,2.50
3/31/2005,2.75
4/29/2005,2.75
5/31/2005,3.00
6/30/2005,3.25
7/29/2005,3.25
8/31/2005,3.50
9/30/2005,3.75
10/31/2005,3.75
11/30/2005,4.00
12/30/2005,4.25
1/31/2006,4.50
2/28/2006,4.50
3/31/2006,4.75
4/28/2006,4.75
5/31/2006,5.00
6/30/2006,5.25
7/31/2006,5.25
8/31/2006,5.25
9/29/2006,5.25
10/31/2006,5.25
11/30/2006,5.25
12/29/2006,5.25
1/31/2007,5.25
2/28/2007,5.25
3/30/2007,5.25
4/30/2007,5.25
5/31/2007,5.25
6/29/2007,5.25
7/31/2007,5.25
8/31/2007,5.25
9/28/2007,4.75
10/31/2007,4.50
11/30/2007,4.50
12/31/2007,4.25
1/31/2008,3.00
2/29/2008,3.00
3/31/2008,2.25
4/30/2008,2.00
5/30/2008,2.00
6/30/2008,2.00
7/31/2008,2.00
8/29/2008,2.00
9/30/2008,2.00
10/31/2008,1.00
11/28/2008,1.00
12/31/2008,0.25
1/30/2009,0.25
2/27/2009,0.25
3/31/2009,0.25
4/30/2009,0.25
5/29/2009,0.25
6/30/2009,0.25
7/31/2009,0.25
8/31/2009,0.25
9/30/2009,0.25
10/30/2009,0.25
11/30/2009,0.25
12/31/2009,0.25
1/29/2010,0.25
2/26/2010,0.25
3/31/2010,0.25
4/30/2010,0.25
5/31/2010,0.25
6/30/2010,0.25
7/30/2010,0.25
8/31/2010,0.25
9/30/2010,0.25
10/29/2010,0.25
11/30/2010,0.25
12/31/2010,0.25
1/31/2011,0.25
2/28/2011,0.25
3/31/2011,0.25
4/29/2011,0.25
5/31/2011,0.25
6/30/2011,0.25
7/29/2011,0.25
8/31/2011,0.25
9/30/2011,0.25
10/31/2011,0.25
11/30/2011,0.25
12/30/2011,0.25
1/31/2012,0.25
2/29/2012,0.25
3/30/2012,0.25
4/30/2012,0.25
5/31/2012,0.25
6/29/2012,0.25
7/31/2012,0.25
8/31/2012,0.25
9/28/2012,0.25
10/31/2012,0.25
11/30/2012,0.25
12/31/2012,0.25
1/31/2013,0.25
2/28/2013,0.25
3/29/2013,0.25
4/30/2013,0.25
5/31/2013,0.25
6/28/2013,0.25
7/31/2013,0.25
8/30/2013,0.25
9/30/2013,0.25
10/31/2013,0.25
11/29/2013,0.25
12/31/2013,0.25
1/31/2014,0.25
2/28/2014,0.25
3/31/2014,0.25
4/30/2014,0.25
5/30/2014,0.25
6/30/2014,0.25
7/31/2014,0.25
8/29/2014,0.25
9/30/2014,0.25
10/31/2014,0.25
11/28/2014,0.25
12/31/2014,0.25
1/30/2015,0.25
2/27/2015,0.25
3/31/2015,0.25
4/30/2015,0.25
5/29/2015,0.25
6/30/2015,0.25
7/31/2015,0.25
8/31/2015,0.25
9/30/2015,0.25
10/30/2015,0.25
11/30/2015,0.25
12/31/2015,0.50
1/29/2016,0.50
2/29/2016,0.50
3/31/2016,0.50
4/29/2016,0.50
5/31/2016,0.50
6/30/2016,0.50
7/29/2016,0.50
8/31/2016,0.50
9/30/2016,0.50
10/31/2016,0.50
11/30/2016,0.50
12/30/2016,0.75
1/31/2017,0.75
2/28/2017,0.75
3/31/2017,1.00
4/28/2017,1.00
5/31/2017,1.00
6/30/2017,1.25
7/31/2017,1.25
8/31/2017,1.25
9/29/2017,1.25
10/31/2017,1.25
11/30/2017,1.25
12/29/2017,1.50
1/31/2018,1.50
2/28/2018,1.50
3/30/2018,1.75
4/30/2018,1.75
5/31/2018,1.75
6/29/2018,2.00
7/31/2018,2.00
8/31/2018,2.00
9/28/2018,2.25
10/31/2018,2.25
11/30/2018,2.25
12/31/2018,2.50
1/31/2019,2.50
2/28/2019,2.50
3/29/2019,2.50
4/30/2019,2.50
5/31/2019,2.50
6/28/2019,2.50
7/31/2019,2.25
8/30/2019,2.25
9/30/2019,2.00
10/31/2019,1.75
11/29/2019,1.75
12/31/2019,1.75
1/31/2020,1.75
2/28/2020,1.75
3/31/2020,0.25
4/30/2020,0.25
5/29/2020,0.25
6/30/2020,0.25
7/31/2020,0.25
