Share Class/Benchmark,YTD,1 Year,3 Years,5 Years,Inception*,ID
CIFC Composite,2.12,2.12,3.55,4.75,5.35,1
S&P LSTA Levg. Loan 100 TR Index,2.84,2.84,4.18,5.31,3.79,2
