Label,Value,ID
ISHARES CORE S&P 500 ETF,56.26%,1
ISHARES CORE MSCI EAFE ET,28.28%,2
ISHARES CORE MSCI EMERGIN,12.54%,3
ISHARES 1-3 YEAR TREASURY,2.24%,4
CASH,0.46%,5
ISHARES 7-10YEAR,0.22%,6
