Label,3 Months,1 Year,2 Years,3 Years,5 Years,10 Years,Since 3/12/2009,ID
Newfound/ ReSolve Robust Equity Momentum TR Index,4.67,25.74,3.99,7.64,6.30,5.32,10.47,1
60/40 Global Balanced (MSCI ACWI/Barclay Aggregate Bond Index),1.57,30.85,12.81,13.18,9.64,7.37,6.47,2
